,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,20.0,27.89827960243491,35.57329291314096,43.03609690949497,50.29728622761212,57.36694347905211,64.25461570237212,70.96930915919836,77.51949675981768,83.91313394820003,90.15768002181449,96.26012270814743,102.22700444369224,108.06444925965161,113.77818951448882,119.37359195865719,124.8556827950045,130.22917152703843,135.4984734794662,140.66773094080781,145.7408329235679,150.72143356870993,155.61296924191527,160.41867438222,165.1415961712383,169.78460809487933,174.35042247040616,178.84160201072547,183.26057049555806,187.60962261607943,191.89093305606536,196.10656486876604,200.25847720483097,204.34853244273108,208.37850276935444,212.35007625483678,216.26486246226347,220.12439762965812,223.9301494586644,227.68352154153303,231.38585745543696,235.03844455074955,238.64251745772145,242.1992613339704,245.70981487334393
1,20.0,27.862926887783942,35.504221054222796,42.93482359300839,50.1652187193564,57.205385227570105,64.06477348303036,70.75230035631574,77.27635652416427,83.6448220649221,89.8650873915509,95.94407739045778,101.8882772431624,107.70375885565369,113.39620714874667,118.9709457027825,124.43296142463282,129.7869280312553,135.03722823466865,140.18797457756568,145.2430289138186,150.2060205590147,155.080363156707,159.86927031910773,164.5757701085813,169.20271843005725,173.75281140552306,178.2285968009079,182.63248457355138,186.96675660551182,191.2335756845314,195.4349937907773,199.57295974368088,203.6493262594181,207.66585646589385,211.6242299185593,215.52604815703853,219.37283983938767,223.1660654878599,226.90712187730912,230.59734609482496,234.23801929684583,237.83037018783807,241.3755782426408,244.87477669275484
2,20.0,27.827709580504518,35.43540812321788,42.833922068044785,50.0336263711751,57.044397080517626,63.875588858338574,70.5360300519443,77.03402987354411,83.37739371249091,89.57344368926289,95.6290423648997,101.55061811359298,107.34419110356566,113.01539915254534,118.56952295910469,124.0115103822746,129.34599956575056,134.57734079205483,139.70961701533707,144.7466630658908,149.6920835499692,154.54926948883752,159.32141375397157,164.01152536294978,168.6224427044121,173.15684576158986,177.61726740317192,182.00610380827197,186.32562408943954,190.5779791743371,194.76521000311368,198.88925509481464,202.95195753248095,206.95507141299913,210.9002678043086,214.78914024929315,218.62320985259458,222.4039299836968,226.13269062693962,229.81082240663005,233.43960031311536,237.02024715356094,240.55393674922402,244.04179689922114
3,20.0,27.79262727754997,35.366853396736644,42.73339136056819,49.902508016006664,56.883977724698696,63.687060406610954,70.32049674576996,76.79251525244894,83.11084729842128,89.28274729954029,95.31501600392016,101.21402542355167,106.98574437444273,112.635763904405,118.16932211760752,123.59132807272283,128.90638455307544,134.11880959468317,139.23265672038463,144.251733872003,149.17962106262735,154.01968679124934,158.77510327489261,163.44886056101547,168.0437795868503,172.56252425356263,177.0076125824786,181.38142701874403,185.68622394506866,189.9241424650021,194.0972125117043,198.20736233458013,202.25642541255718,206.24614683927797,210.17818922210165,214.05413813360076,217.8755071512153,221.64374251789303,225.36022745390886,229.02628614761102,232.64318745058097,236.21214830060995,239.73433689397632,243.21087562674654
4,20.0,27.757679572921006,35.29855614512837,42.6332304867401,49.771862473322244,56.72412582975039,63.49918668532871,70.10569891306056,76.55181107748012,82.84518119899542,88.99299657253476,95.00199664245775,100.878497501156,106.62841699606514,112.25729973685003,117.77034151964642,123.17241284958277,128.46808136209205,133.66163302946535,138.75709210039662,143.75823976339018,148.6686315546586,153.49161355109908,158.23033740175748,162.88777425883455,167.46672767322622,171.96984552089162,176.3996310258127,180.7584529435302,185.04855496664607,189.27206441058274,193.43100023451046,197.52728044885993,201.56272895733753,205.53908187793616,209.45799338413548,213.32104110434642,217.129731114692,220.88550255744258,224.5897319148383,228.24373696563072,231.8487804494589,235.40607346212562,238.9167786029567,242.38201289369272
5,20.0,27.722866057966712,35.23051563306922,42.53343845378106,49.64168855024684,56.56484004951113,63.31196623274229,69.89163500649096,76.31191573938543,82.5803937615014,88.70418982639114,94.68998258055939,100.54403263686805,106.27220725590502,111.88000493954144,117.37257946124197,122.75476301872243,128.03108831157675,133.20580943091886,138.28292150838615,143.26617911434653,148.15911342453126,152.96504819407915,157.68711459071568,162.32826494643854,166.89128549106368,171.37880813237143,175.79332134715833,180.1371802458293,184.4126158706777,188.62174378500714,192.7665720069743,196.84900833863037,200.87086713723176,204.83387557254554,208.73967941065365,212.58984836168696,216.38588102602114,220.12920947074747,223.82120346569667,227.46317440593907,231.05637894550773,234.6020223650783,238.10126169449023,241.55520860928846
6,20.0,27.688186321671765,35.16273112012419,42.43401426079379,49.51198504263118,56.406119023328245,63.1253975694035,69.67830345788815,76.07282760500686,82.31648330637466,88.41632534957421,94.37897208588413,100.21062908616886,105.91711340396483,111.50387776227507,116.97603419623294,122.33837684157567,127.59540367367009,132.75133708476045,137.81014324642467,142.7755502460966,147.65106501551924,152.4399890885569,157.14543323844907,161.77033105223148,166.3174515040792,170.7894105907872,175.18868209226633,179.51760751836304,183.77840530093061,187.9731792871903,192.10392658724356,196.17254482529245,200.18083884080198,204.1305268825767,208.0232463355735,211.86055901726849,215.6439560775571,219.3748625335022,223.05464146775984,226.68459791720244,230.26598247612185,233.79999463641906,237.28778588536903,240.73046257987437
7,20.0,27.653639950930085,35.09520186128225,42.334956899548274,49.38275073607463,56.24796137730732,62.93947919962926,69.46570267989915,75.83454501914326,82.05344812924585,88.12940140309371,94.0689633960983,99.87828507211691,105.56313365549408,111.12891641785075,116.58070393929364,121.92325253830421,127.16102567717945,132.29821423134644,137.3387555692173,142.28635143050298,147.14448461953913,151.91643454953982,156.60529168626266,161.21397094720453,165.74522411651748,170.20165133736924,174.5857117432252,178.8997332880602,183.14592183322918,187.32636954593892,191.44306266118247,195.4978886557854,199.49264287997596,203.4290346887077,207.3086931118865,211.13317209971416,214.90395537658253,218.6224609343423,222.2900451933325,225.90800685729312,229.47759048618292,232.99998980898715,236.47635079681004,239.9077745149043
8,20.0,27.619226530806202,35.02792710746786,42.236265355232035,49.253984406902646,56.09036572550565,62.75420961290081,69.25383106758562,75.59706630633048,81.79128650289852,87.8434162226315,93.75995472116563,99.54699878779513,105.21026619358724,110.75511908481656,116.18658686881992,121.50938829082162,126.72795251073808,131.84643906896366,136.86875668752305,141.79858089361318,146.63937048082187,151.3943828424691,156.06668822399843,160.65918294896773,165.1746016772998,169.61552875605582,173.98440872283658,178.28355602054273,182.5151639800481,186.6813131246493,190.78397884717145,194.82503850748566,198.8062779950414,202.7293977979105,206.59601861683342,210.40768655988387,214.16587795064845,217.87200378025983,221.527413831234,225.1334004988401,228.69120233367016,232.202007327174,235.6669559601662,239.08714403269732
9,20.0,27.58494564478366,34.960906106027664,42.137938607164415,49.12568482309831,55.93333067107034,62.56958728519817,69.04268699994498,75.36038977254077,81.5299966791381,87.55836802057337,93.45194424553432,99.21676839864739,104.85850917166476,110.38248391008989,115.79368112968649,121.09678224568313,126.29618232582408,131.39600975697488,136.40014477142415,141.31223681905107,146.13572079942395,150.87383218684914,155.5296210937808,160.10596532560982,164.6055824839957,169.031041177575,173.38477139880456,177.66907412442066,181.88613019491135,186.03800852580753,190.12667370070585,194.15399299290084,198.12174285943263,202.03161494832682,205.8852216568652,209.68410127591665,213.42972275269358,217.1234901017953,220.76674649205836,224.36077803455248,227.90681729504132,231.4060465523562,234.8596008224058,238.2685706659567
