0,245.71
1,244.87
2,244.04
3,243.21
4,242.38
5,241.56
6,240.73
7,239.91
8,239.09
9,238.27
10,237.45
11,236.64
12,235.83
13,235.01
14,234.21
15,233.4
16,232.6
17,231.79
18,230.99
19,230.2
20,229.4
21,228.61
22,227.81
23,227.02
24,226.24
25,225.45
26,224.67
27,223.89
28,223.11
29,222.33
30,221.55
31,220.78
32,220.01
33,219.24
34,218.47
35,217.7
36,216.94
37,216.18
38,215.42
39,214.66
40,213.91
41,213.15
42,212.4
43,211.65
44,210.91
45,210.16
46,209.42
47,208.68
48,207.94
49,207.2
50,206.47
51,205.73
52,205.0
53,204.27
54,203.55
55,202.82
56,202.1
57,201.38
58,200.66
59,199.94
60,199.22
61,198.51
62,197.8
63,197.09
64,196.38
65,195.68
66,194.98
67,194.27
68,193.57
69,192.88
70,192.18
71,191.49
72,190.8
73,190.11
74,189.42
75,188.74
76,188.05
77,187.37
78,186.69
79,186.01
80,185.34
81,184.66
82,183.99
83,183.32
84,182.66
85,181.99
86,181.33
87,180.66
88,180.0
89,179.35
90,178.69
91,178.04
92,177.39
93,176.74
94,176.09
95,175.44
96,174.8
97,174.15
98,173.51
99,172.88
